file,duplicated_lines,ncloc,complexity,cognitive_complexity,functions
src/components/pfaComponents/pfaAssignmentPage.jsx,0,300,36,33,17
src/components/pfaComponents,64,2358,338,145,172
src/pages/pfaPage,0,23,6,1,2
src/components/pfaComponents/pfaPlanningPopUp.jsx,0,118,17,4,11
src/services/PfaServices/pfaService.js,0,359,32,27,25
src/services/PfaServices,0,359,32,27,25
src/components/pfaComponents/pfaSoutenance.jsx,0,220,22,14,14
src/services/pfeService/pfe.service.js,0,161,26,15,12
src/pages/pfePage/pfeadmin.jsx,0,362,45,24,23
src/pages/pfePage/pfeSoutenance/PFEDefenseManagement.jsx,0,567,75,32,27
src/pages/pfePage/pfeens.jsx,0,168,25,21,8
src/pages/pfePage,0,1985,271,141,99
src/services/pfeService,0,216,39,20,19
src/pages/pfePage/pfeSoutenance,0,1092,135,57,46
src/services/pfeService/pfeSoutenance.js,0,55,13,5,7
src/pages/pfePage/pfeStudent.jsx,0,297,55,34,18
src/services/planinginternshipService,0,16,3,5,1
src/pages/pfePage/planning.jsx,0,66,11,5,4
src/pages/pfePage/pfeSoutenance/Planning.jsx,0,230,22,7,6
src/services/planinginternshipService/Planninginternship.service.js,0,16,3,5,1
src/pages/planningPage,0,65,14,4,4
src/pages/planningPage/PlanningPage.jsx,0,65,14,4,4
src/pages/PlanningUpdate,0,232,33,21,15
src/components/skillsComponents/Popup.jsx,0,91,11,5,4
src/pages/profilePage/Profile.jsx,0,257,33,12,8
src/services/profile.service.js,0,115,29,27,5
src/pages/profilePage,0,736,74,33,19
src/components/skillsComponents/REComponents/ProgressBar.jsx,0,20,2,1,1
src/components/skillsComponents/ProtectedRoute.jsx,0,29,10,5,3
src/components/skillsComponents/REComponents,0,308,67,33,42
src/redux,0,82,14,5,8
src/components/skillsComponents/SearchBar.jsx,0,27,2,0,2
src/components/subjectsComponents/SearchDropdown.jsx,0,269,82,52,31
src/components/UniversityYear/Season.jsx,104,181,29,16,14
src/services,32,2591,450,290,161
src/components/Sidebar.jsx,0,110,32,12,11
src/pages/signinPage/SignIn.css,0,11,0,0,0
src/pages/signinPage/SignIn.jsx,0,170,23,17,7
src/pages/signinPage,0,181,23,17,7
src/pages/signupPage/SignUp.css,0,11,0,0,0
src/pages/signupPage/SignUp.jsx,0,158,12,2,7
src/pages/signupPage,0,169,12,2,7
src/components/subjectsComponents/SkillList.jsx,0,51,13,6,5
src/components/skillsComponents,20,1280,247,135,109
src/utils/socket.js,0,5,0,0,0
src/utils/socketNames.js,0,7,0,0,0
src/components/pfaComponents/soutenanceDetailsPopUp.jsx,0,0,0,0,0
src,2823,26666,4115,2256,1755
src/components/subjectsComponents/StarRating.jsx,0,29,6,3,4
src/redux/store.js,0,7,0,0,0
src/components/CV/StudentCVAcademic.jsx,0,204,27,7,16
src/pages/StudentCVPage.jsx,205,293,48,18,14
src/components/ImportExcel/StudentExcel.jsx,130,263,41,20,23
src/pages/studentInternshipPage/studentInternship.jsx,19,404,68,31,31
src/components/internshipComponents/StudentInternshipDetails.jsx,0,262,30,15,5
src/pages/studentInternshipPage,19,620,100,52,47
src/components/UsersLists/StudentList.jsx,218,855,90,46,45
src/components/pfaComponents/studentPage.jsx,0,337,72,27,36
src/components/pfaComponents/studentPfaComponent.jsx,32,44,7,2,3
src/services/ManageUsersServices/students.service.js,32,361,110,60,28
src/components/UsersLists/StudentsListForTeachers.jsx,16,182,24,14,12
src/pages/usersListPage/StudentsListTeachers.jsx,0,9,1,0,1
src/pages/UsersManagementPage/StudentsManagPage.jsx,0,21,4,1,3
src/components/pfaComponents/studentSOutenancePlanning.jsx,0,167,26,16,8
src/services/internshipServices/studentsWithoutInternship.js,0,23,3,1,1
src/pages/studentInternshipPage/StudentsWithoutInternshipPage.jsx,0,216,32,21,16
src/services/UniversityYearServices/studentsyear.service.js,0,13,2,1,1
src/components/subjectsComponents/OLD/SubjectDetailsPage OLD.jsx,183,501,115,69,41
src/components/subjectsComponents/SubjectDetailsPage.jsx,248,1305,233,189,84
src/components/subjectsComponents/OLD/SubjectForm OLD.jsx,247,620,143,76,83
src/components/subjectsComponents/SubjectForm.jsx,247,831,162,100,82
src/pages/subjectsPage/Subjects.jsx,0,199,32,15,12
src/components/subjectsComponents,991,4695,952,578,409
src/components/subjectsComponents/SubjectsList.jsx,66,326,70,28,26
src/pages/subjectsPage,0,357,66,36,29
src/components/ImportExcel/TeacherExcel.jsx,117,253,38,17,22
src/services/internshipServices/TeacherInternship.service.js,0,71,15,17,5
src/components/internshipComponents/TeacherInternshipCard.jsx,0,354,52,25,17
src/pages/teacherInternshipPage,19,307,53,24,24
src/pages/teacherInternshipPage/TeacherInternshipPage.jsx,19,307,53,24,24
src/components/pfaComponents/teacherPage.jsx,0,302,32,9,20
src/components/pfaComponents/teacherPfaComponent.jsx,32,42,7,2,3
src/services/ManageUsersServices/teachers.service.js,0,64,8,5,5
